"","Year","Date","BigBioPlot","PlantSpNum","Plot","Treatment","Species","Mass.g.m.2.","Planted"
"6408",2018,"8/1/2018",105,32,35,"Insecticide","Buchloe dactyloides",0,"planted"
"6409",2022,NA,105,32,35,"Insecticide","Lespedeza capitata",21.6,"planted"
"6410",2013,"8/20/2013",105,32,35,"Insecticide","Lespedeza capitata",2.8,"planted"
"6411",2007,"10/16/2007",105,32,35,"Insecticide","Liatris aspera",32.7,"planted"
"6412",2012,"8/28/2012",105,32,35,"Insecticide","Koeleria cristata",4.5,"planted"
"6413",2023,NA,105,32,35,"Insecticide","Quercus macrocarpa",0,"planted"
"6414",2011,"8/26/2011",105,32,35,"Insecticide","Achillea millefolium (lanulosa)",12.8,"planted"
"6415",2023,NA,105,32,35,"Insecticide","Poa pratensis",1.01,"planted"
"6416",2017,"8/1/2017",105,32,35,"Insecticide","Petalostemum purpureum",68.4,"planted"
"6417",2013,"8/20/2013",105,32,35,"Insecticide","Andropogon gerardi",507,"planted"
"6418",2022,NA,105,32,35,"Insecticide","Coreopsis palmata",41.8,"planted"
"6419",2016,"8/1/2016",105,32,35,"Insecticide","Rudbeckia serotina",0,"planted"
"6420",2022,NA,105,32,35,"Insecticide","Poa pratensis",3.62,"planted"
"6421",2013,"8/20/2013",105,32,35,"Insecticide","Petalostemum purpureum",13,"planted"
"6422",2024,NA,105,32,35,"Insecticide","Petalostemum candidum",0,"planted"
"6423",2024,NA,105,32,35,"Insecticide","Monarda fistulosa",10.5,"planted"
"6424",2012,"8/28/2012",105,32,35,"Insecticide","Achillea millefolium (lanulosa)",1.6,"planted"
"6425",2010,"8/23/2010",105,32,35,"Insecticide","Schizachyrium scoparium",24.5,"planted"
"6426",2010,"8/23/2010",105,32,35,"Insecticide","Solidago rigida",334.2,"planted"
"6427",2011,"8/26/2011",105,32,35,"Insecticide","Schizachyrium scoparium",11.9,"planted"
"6428",2018,"8/1/2018",105,32,35,"Insecticide","Real weeds",2.1,"weed"
"6429",2016,"8/1/2016",105,32,35,"Insecticide","Real weeds",1.58,"weed"
"6430",2023,NA,105,32,35,"Insecticide","Bouteloua gracilis",1.59,"planted"
"6431",2017,"8/1/2017",105,32,35,"Insecticide","Poa pratensis",40.7,"planted"
"6432",2018,"8/1/2018",105,32,35,"Insecticide","Bouteloua gracilis",1.7,"planted"
"6433",2023,NA,105,32,35,"Insecticide","Solidago rigida",69.5,"planted"
"6434",2012,"8/28/2012",105,32,35,"Insecticide","Bouteloua gracilis",0.5,"planted"
"6435",2023,NA,105,32,35,"Insecticide","Bouteloua curtipendula",0,"planted"
"6436",2024,NA,105,32,35,"Insecticide","Quercus macrocarpa",0,"planted"
"6437",2024,NA,105,32,35,"Insecticide","Miscellaneous litter",1.26,"weed"
"6438",2007,"10/16/2007",105,32,35,"Insecticide","Coreopsis palmata",59.2,"planted"
"6439",2012,"8/28/2012",105,32,35,"Insecticide","Coreopsis palmata",4.7,"planted"
"6440",2012,"8/28/2012",105,32,35,"Insecticide","Cyperus sp.",0.9,"weed"
"6441",2010,"8/23/2010",105,32,35,"Insecticide","Poa pratensis",0.6,"planted"
"6442",2022,NA,105,32,35,"Insecticide","Andropogon gerardi",63.5,"planted"
"6443",2024,NA,105,32,35,"Insecticide","Petalostemum purpureum",22.4,"planted"
"6444",2023,NA,105,32,35,"Insecticide","Baptisia leucantha",0,"planted"
"6445",2018,"8/1/2018",105,32,35,"Insecticide","Bouteloua curtipendula",0,"planted"
"6446",2022,NA,105,32,35,"Insecticide","Amorpha canescens",95.9,"planted"
"6447",2018,"8/1/2018",108,16,36,"AllPesticides","Monarda fistulosa",0,"planted"
"6448",2018,"8/1/2018",108,16,36,"AllPesticides","Lupinus perennis",0,"planted"
"6449",2016,"8/1/2016",108,16,36,"AllPesticides","Amorpha canescens",2.07,"planted"
"6450",2013,"8/20/2013",108,16,36,"AllPesticides","Sorghastrum nutans",25.8,"planted"
"6451",2018,"8/1/2018",108,16,36,"AllPesticides","Miscellaneous litter",0,"weed"
"6452",2013,"8/20/2013",108,16,36,"AllPesticides","Solidago rigida",2,"planted"
"6453",2023,NA,108,16,36,"AllPesticides","Poa pratensis",1.61,"planted"
"6454",2018,"8/1/2018",108,16,36,"AllPesticides","Real weeds",0,"weed"
"6455",2018,"8/1/2018",108,16,36,"AllPesticides","Liatris aspera",0,"planted"
"6456",2018,"8/1/2018",108,16,36,"AllPesticides","Panicum virgatum",0,"planted"
"6457",2013,"8/20/2013",108,16,36,"AllPesticides","Rumex acetosella",0.4,"weed"
"6458",2023,NA,108,16,36,"AllPesticides","Koeleria cristata",42.3,"planted"
"6459",2015,"8/24/2015",108,16,36,"AllPesticides","Koeleria cristata",18.7,"planted"
"6460",2023,NA,108,16,36,"AllPesticides","Quercus ellipsoidalis",0,"planted"
"6461",2007,"10/16/2007",108,16,36,"AllPesticides","Sorghastrum nutans",2.6,"planted"
"6462",2021,NA,108,16,36,"AllPesticides","Lupinus perennis",11.5,"planted"
"6463",2007,"10/16/2007",108,16,36,"AllPesticides","Petalostemum purpureum",16.3,"planted"
"6464",2007,"10/16/2007",108,16,36,"AllPesticides","Bouteloua gracilis",0.6,"weed"
"6465",2015,"8/24/2015",108,16,36,"AllPesticides","Amorpha canescens",44.8,"planted"
"6466",2018,"8/1/2018",108,16,36,"AllPesticides","Poa pratensis",8.2,"planted"
"6467",2024,NA,108,16,36,"AllPesticides","Agropyron smithii",0,"planted"
"6468",2018,"8/1/2018",108,16,36,"AllPesticides","Petalostemum purpureum",29.8,"planted"
"6469",2009,"8/17/2009",108,16,36,"AllPesticides","Poa pratensis",12.6,"planted"
"6470",2007,"10/16/2007",108,16,36,"AllPesticides","Poa pratensis",11.3,"planted"
"6471",2023,NA,108,16,36,"AllPesticides","Liatris aspera",9.61,"planted"
"6472",2013,"8/20/2013",108,16,36,"AllPesticides","Schizachyrium scoparium",6.2,"planted"
"6473",2012,"8/28/2012",108,16,36,"AllPesticides","Koeleria cristata",51.4,"planted"
"6474",2015,"8/24/2015",108,16,36,"AllPesticides","Achillea millefolium (lanulosa)",23.4,"planted"
"6475",2024,NA,108,16,36,"AllPesticides","32 species weeds",0,"weed"
"6476",2023,NA,108,16,36,"AllPesticides","Monarda fistulosa",0,"planted"
"6477",2015,"8/24/2015",108,16,36,"AllPesticides","Andropogon gerardi",104.2,"planted"
"6478",2024,NA,108,16,36,"AllPesticides","Amorpha canescens",0,"planted"
"6479",2013,"8/20/2013",108,16,36,"AllPesticides","Poa pratensis",37.9,"planted"
"6480",2018,"8/1/2018",108,16,36,"AllPesticides","32 species weeds",0.1,"weed"
"6481",2023,NA,108,16,36,"AllPesticides","Elymus canadensis",0,"planted"
"6482",2011,"8/26/2011",108,16,36,"AllPesticides","Petalostemum purpureum",74.7,"planted"
"6483",2023,NA,108,16,36,"AllPesticides","Lupinus perennis",1.01,"planted"
"6484",2016,"8/1/2016",108,16,36,"AllPesticides","32 species weeds",0,"weed"
"6485",2023,NA,108,16,36,"AllPesticides","Miscellaneous litter",33.8,"weed"
"6486",2022,NA,108,16,36,"AllPesticides","Andropogon gerardi",0.61,"planted"
"6487",2022,NA,108,16,36,"AllPesticides","Koeleria cristata",56.9,"planted"
"6488",2017,"8/1/2017",108,16,36,"AllPesticides","Schizachyrium scoparium",2.4,"planted"
"6489",2017,"8/1/2017",108,16,36,"AllPesticides","Sorghastrum nutans",117.8,"planted"
"6490",2023,NA,108,16,36,"AllPesticides","Panicum virgatum",0,"planted"
"6491",2021,NA,108,16,36,"AllPesticides","Poa pratensis",4.4,"planted"
"6492",2012,"8/28/2012",108,16,36,"AllPesticides","Petalostemum candidum",0.09,"weed"
"6493",2015,"8/24/2015",108,16,36,"AllPesticides","Bouteloua gracilis",0.2,"weed"
"6494",2011,"8/26/2011",108,16,36,"AllPesticides","Poa pratensis",37.9,"planted"
"6495",2014,"8/14/2014",108,16,36,"AllPesticides","Poa pratensis",22.8,"planted"
"6496",2010,"8/23/2010",108,16,36,"AllPesticides","Schizachyrium scoparium",7.8,"planted"
"6497",2007,"10/16/2007",108,16,36,"AllPesticides","Schizachyrium scoparium",105.6,"planted"
"6498",2018,"8/1/2018",108,16,36,"AllPesticides","Koeleria cristata",31.5,"planted"
"6499",2010,"8/23/2010",108,16,36,"AllPesticides","Sorghastrum nutans",7.9,"planted"
"6500",2016,"8/1/2016",108,16,36,"AllPesticides","Sorghastrum nutans",5.92,"planted"
"6501",2016,"8/1/2016",108,16,36,"AllPesticides","Solidago rigida",0,"planted"
"6502",2016,"8/1/2016",108,16,36,"AllPesticides","Agropyron smithii",0,"planted"
"6503",2021,NA,108,16,36,"AllPesticides","Koeleria cristata",5,"planted"
"6504",2017,"8/1/2017",108,16,36,"AllPesticides","Poa pratensis",31.4,"planted"
"6505",2022,NA,108,16,36,"AllPesticides","Miscellaneous litter",21.1,"weed"
"6506",2021,NA,108,16,36,"AllPesticides","Petalostemum purpureum",95,"planted"
"6507",2014,"8/14/2014",108,16,36,"AllPesticides","Schizachyrium scoparium",68.9,"planted"
"6508",2011,"8/26/2011",108,16,36,"AllPesticides","Schizachyrium scoparium",104.7,"planted"
"6509",2009,"8/17/2009",108,16,36,"AllPesticides","Koeleria cristata",3.3,"planted"
"6510",2007,"10/16/2007",108,16,36,"AllPesticides","Lupinus perennis",8.1,"planted"
"6511",2007,"10/16/2007",108,16,36,"AllPesticides","Koeleria cristata",0.4,"planted"
"6512",2016,"8/1/2016",108,16,36,"AllPesticides","Achillea millefolium (lanulosa)",0,"planted"
"6513",2022,NA,108,16,36,"AllPesticides","Amorpha canescens",58.9,"planted"
"6514",2017,"8/1/2017",108,16,36,"AllPesticides","Andropogon gerardi",105.8,"planted"
"6515",2017,"8/1/2017",108,16,36,"AllPesticides","Lupinus perennis",114.9,"planted"
"6516",2012,"8/28/2012",108,16,36,"AllPesticides","Lupinus perennis",2.2,"planted"
"6517",2015,"8/24/2015",108,16,36,"AllPesticides","Sorghastrum nutans",70.5,"planted"
"6518",2018,"8/1/2018",108,16,36,"AllPesticides","Elymus canadensis",0,"planted"
"6519",2013,"8/20/2013",108,16,36,"AllPesticides","Koeleria cristata",9.3,"planted"
"6520",2018,"8/1/2018",108,16,36,"AllPesticides","Achillea millefolium (lanulosa)",0,"planted"
"6521",2023,NA,108,16,36,"AllPesticides","Real weeds",0,"weed"
"6522",2023,NA,108,16,36,"AllPesticides","Andropogon gerardi",29,"planted"
"6523",2023,NA,108,16,36,"AllPesticides","Agropyron smithii",0,"planted"
"6524",2017,"8/1/2017",108,16,36,"AllPesticides","Amorpha canescens",13.2,"planted"
"6525",2012,"8/28/2012",108,16,36,"AllPesticides","Amorpha canescens",1.2,"planted"
"6526",2012,"8/28/2012",108,16,36,"AllPesticides","Bouteloua gracilis",6.3,"weed"
"6527",2023,NA,108,16,36,"AllPesticides","32 species weeds",0,"weed"
"6528",2018,"8/1/2018",108,16,36,"AllPesticides","Sorghastrum nutans",86.2,"planted"
"6529",2017,"8/1/2017",108,16,36,"AllPesticides","Petalostemum purpureum",50.3,"planted"
"6530",2017,"8/1/2017",108,16,36,"AllPesticides","Koeleria cristata",14.1,"planted"
"6531",2021,NA,108,16,36,"AllPesticides","Achillea millefolium (lanulosa)",4.8,"planted"
"6532",2021,NA,108,16,36,"AllPesticides","Andropogon gerardi",17.4,"planted"
"6533",2023,NA,108,16,36,"AllPesticides","Quercus macrocarpa",0,"planted"
"6534",2014,"8/14/2014",108,16,36,"AllPesticides","Petalostemum purpureum",56.6,"planted"
"6535",2022,NA,108,16,36,"AllPesticides","Petalostemum purpureum",60.2,"planted"
"6536",2010,"8/23/2010",108,16,36,"AllPesticides","Poa pratensis",26.5,"planted"
"6537",2023,NA,108,16,36,"AllPesticides","Amorpha canescens",205.8,"planted"
"6538",2018,"8/1/2018",108,16,36,"AllPesticides","Solidago rigida",0,"planted"
"6539",2023,NA,108,16,36,"AllPesticides","Achillea millefolium (lanulosa)",0,"planted"
"6540",2015,"8/24/2015",108,16,36,"AllPesticides","Miscellaneous litter",37.8,"weed"
"6541",2024,NA,108,16,36,"AllPesticides","Liatris aspera",0,"planted"
"6542",2010,"8/23/2010",108,16,36,"AllPesticides","Sporobolus cryptandrus",0.3,"weed"
"6543",2024,NA,108,16,36,"AllPesticides","Lupinus perennis",75.2,"planted"
"6544",2016,"8/1/2016",108,16,36,"AllPesticides","Quercus ellipsoidalis",0,"planted"
"6545",2007,"10/16/2007",108,16,36,"AllPesticides","Andropogon gerardi",4.3,"planted"
"6546",2014,"8/14/2014",108,16,36,"AllPesticides","Lupinus perennis",13.9,"planted"
"6547",2013,"8/20/2013",108,16,36,"AllPesticides","Andropogon gerardi",118.9,"planted"
"6548",2011,"8/26/2011",108,16,36,"AllPesticides","Amorpha canescens",38.8,"planted"
"6549",2024,NA,108,16,36,"AllPesticides","Solidago rigida",0,"planted"
"6550",2009,"8/17/2009",108,16,36,"AllPesticides","Lupinus perennis",25.8,"planted"
"6551",2021,NA,108,16,36,"AllPesticides","Sorghastrum nutans",48,"planted"
"6552",2015,"8/24/2015",108,16,36,"AllPesticides","Liatris aspera",248.4,"planted"
"6553",2021,NA,108,16,36,"AllPesticides","Schizachyrium scoparium",0.9,"planted"
"6554",2009,"8/17/2009",108,16,36,"AllPesticides","Schizachyrium scoparium",40.6,"planted"
"6555",2015,"8/24/2015",108,16,36,"AllPesticides","Poa pratensis",23,"planted"
"6556",2014,"8/14/2014",108,16,36,"AllPesticides","Solanum americanum",0.3,"weed"
"6557",2018,"8/1/2018",108,16,36,"AllPesticides","Andropogon gerardi",0.8,"planted"
"6558",2016,"8/1/2016",108,16,36,"AllPesticides","Quercus macrocarpa",0,"planted"
"6559",2007,"10/16/2007",108,16,36,"AllPesticides","Amorpha canescens",284.2,"planted"
"6560",2023,NA,108,16,36,"AllPesticides","Petalostemum purpureum",77.7,"planted"
"6561",2008,"10/28/2008",108,16,36,"AllPesticides","Unsorted biomass",163.8,"weed"
"6562",2011,"8/26/2011",108,16,36,"AllPesticides","Andropogon gerardi",62.8,"planted"
"6563",2010,"8/23/2010",108,16,36,"AllPesticides","Petalostemum purpureum",81.5,"planted"
"6564",2010,"8/23/2010",108,16,36,"AllPesticides","Miscellaneous litter",18.9,"weed"
"6565",2009,"8/17/2009",108,16,36,"AllPesticides","Amorpha canescens",7.6,"planted"
"6566",2010,"8/23/2010",108,16,36,"AllPesticides","Mollugo verticillata",0.1,"weed"
"6567",2018,"8/1/2018",108,16,36,"AllPesticides","Quercus macrocarpa",0,"planted"
"6568",2016,"8/1/2016",108,16,36,"AllPesticides","Schizachyrium scoparium",0.03,"planted"
"6569",2016,"8/1/2016",108,16,36,"AllPesticides","Panicum virgatum",0,"planted"
"6570",2015,"8/24/2015",108,16,36,"AllPesticides","Petalostemum purpureum",69.7,"planted"
"6571",2014,"8/14/2014",108,16,36,"AllPesticides","Cyperus sp.",0.8,"weed"
"6572",2016,"8/1/2016",108,16,36,"AllPesticides","Real weeds",0.27,"weed"
"6573",2021,NA,108,16,36,"AllPesticides","Amorpha canescens",77.2,"planted"
"6574",2014,"8/14/2014",108,16,36,"AllPesticides","Miscellaneous litter",28.2,"weed"
"6575",2024,NA,108,16,36,"AllPesticides","Schizachyrium scoparium",1.7,"planted"
"6576",2014,"8/14/2014",108,16,36,"AllPesticides","Andropogon gerardi",6.4,"planted"
"6577",2009,"8/17/2009",108,16,36,"AllPesticides","Petalostemum purpureum",21.2,"planted"
"6578",2010,"8/23/2010",108,16,36,"AllPesticides","Andropogon gerardi",29.8,"planted"
"6579",2016,"8/1/2016",108,16,36,"AllPesticides","Lupinus perennis",2.62,"planted"
"6580",2023,NA,108,16,36,"AllPesticides","Schizachyrium scoparium",1.48,"planted"
"6581",2015,"8/24/2015",108,16,36,"AllPesticides","Lupinus perennis",0.11,"planted"
"6582",2016,"8/1/2016",108,16,36,"AllPesticides","Koeleria cristata",10.05,"planted"
"6583",2016,"8/1/2016",108,16,36,"AllPesticides","Petalostemum purpureum",1.73,"planted"
"6584",2016,"8/1/2016",108,16,36,"AllPesticides","Poa pratensis",1.4,"planted"
"6585",2013,"8/20/2013",108,16,36,"AllPesticides","Lupinus perennis",227.1,"planted"
"6586",2018,"8/1/2018",108,16,36,"AllPesticides","Agropyron smithii",0,"planted"
"6587",2011,"8/26/2011",108,16,36,"AllPesticides","Lupinus perennis",162.1,"planted"
"6588",2010,"8/23/2010",108,16,36,"AllPesticides","Koeleria cristata",4.2,"planted"
"6589",2010,"8/23/2010",108,16,36,"AllPesticides","Amorpha canescens",47.1,"planted"
"6590",2010,"8/23/2010",108,16,36,"AllPesticides","Lupinus perennis",52.7,"planted"
"6591",2009,"8/17/2009",108,16,36,"AllPesticides","Andropogon gerardi",29.3,"planted"
"6592",2021,NA,108,16,36,"AllPesticides","Real weeds",0.3,"weed"
"6593",2024,NA,108,16,36,"AllPesticides","Sorghastrum nutans",111.8,"planted"
"6594",2023,NA,108,16,36,"AllPesticides","Sorghastrum nutans",89.4,"planted"
"6595",2016,"8/1/2016",108,16,36,"AllPesticides","Andropogon gerardi",16.75,"planted"
"6596",2023,NA,108,16,36,"AllPesticides","Solidago rigida",0,"planted"
"6597",2024,NA,108,16,36,"AllPesticides","Koeleria cristata",0,"planted"
"6598",2015,"8/24/2015",108,16,36,"AllPesticides","Rumex acetosella",0.38,"weed"
"6599",2015,"8/24/2015",108,16,36,"AllPesticides","Schizachyrium scoparium",59.2,"planted"
"6600",2024,NA,108,16,36,"AllPesticides","Achillea millefolium (lanulosa)",0,"planted"
"6601",2014,"8/14/2014",108,16,36,"AllPesticides","Amorpha canescens",72.6,"planted"
"6602",2018,"8/1/2018",108,16,36,"AllPesticides","Quercus ellipsoidalis",0,"planted"
"6603",2018,"8/1/2018",108,16,36,"AllPesticides","Schizachyrium scoparium",61.4,"planted"
"6604",2017,"8/1/2017",108,16,36,"AllPesticides","Achillea millefolium (lanulosa)",14.6,"planted"
"6605",2016,"8/1/2016",108,16,36,"AllPesticides","Monarda fistulosa",0,"planted"
"6606",2012,"8/28/2012",108,16,36,"AllPesticides","Schizachyrium scoparium",56.2,"planted"
"6607",2016,"8/1/2016",108,16,36,"AllPesticides","Liatris aspera",0,"planted"
"6608",2018,"8/1/2018",108,16,36,"AllPesticides","Amorpha canescens",3,"planted"
"6609",2016,"8/1/2016",108,16,36,"AllPesticides","Elymus canadensis",0,"planted"
"6610",2011,"8/26/2011",108,16,36,"AllPesticides","Koeleria cristata",31.2,"planted"
"6611",2024,NA,108,16,36,"AllPesticides","Poa pratensis",9.44,"planted"
"6612",2022,NA,108,16,36,"AllPesticides","Schizachyrium scoparium",3.78,"planted"
"6613",2024,NA,108,16,36,"AllPesticides","Real weeds",2.83,"weed"
"6614",2024,NA,108,16,36,"AllPesticides","Andropogon gerardi",108.9,"planted"
"6615",2014,"8/14/2014",108,16,36,"AllPesticides","Koeleria cristata",41.8,"planted"
"6616",2022,NA,108,16,36,"AllPesticides","Poa pratensis",1.41,"planted"
"6617",2012,"8/28/2012",108,16,36,"AllPesticides","Petalostemum purpureum",18.5,"planted"
"6618",2011,"8/26/2011",108,16,36,"AllPesticides","Sorghastrum nutans",7.1,"planted"
"6619",2024,NA,108,16,36,"AllPesticides","Monarda fistulosa",0,"planted"
"6620",2016,"8/1/2016",108,16,36,"AllPesticides","Miscellaneous litter",4.42,"weed"
"6621",2024,NA,108,16,36,"AllPesticides","Quercus ellipsoidalis",0,"planted"
"6622",2013,"8/20/2013",108,16,36,"AllPesticides","Petalostemum purpureum",233.2,"planted"
"6623",2024,NA,108,16,36,"AllPesticides","Panicum virgatum",0,"planted"
"6624",2022,NA,108,16,36,"AllPesticides","Sorghastrum nutans",1.07,"planted"
"6625",2012,"8/28/2012",108,16,36,"AllPesticides","Sorghastrum nutans",13.5,"planted"
"6626",2010,"8/23/2010",108,16,36,"AllPesticides","Agropyron repens",0.1,"weed"
"6627",2024,NA,108,16,36,"AllPesticides","Elymus canadensis",0,"planted"
"6628",2010,"8/23/2010",108,16,36,"AllPesticides","Bouteloua curtipendula",3.9,"weed"
"6629",2024,NA,108,16,36,"AllPesticides","Quercus macrocarpa",0,"planted"
"6630",2022,NA,108,16,36,"AllPesticides","Real weeds",3.56,"weed"
"6631",2013,"8/20/2013",108,16,36,"AllPesticides","Amorpha canescens",26.9,"planted"
"6632",2024,NA,108,16,36,"AllPesticides","Petalostemum purpureum",5.71,"planted"
"6633",2024,NA,108,16,36,"AllPesticides","Miscellaneous litter",0,"weed"
"6634",2007,"10/16/2007",108,16,37,"Control","Andropogon gerardi",38.1,"planted"
"6635",2010,"8/23/2010",108,16,37,"Control","Liatris aspera",110.4,"planted"
"6636",2022,NA,108,16,37,"Control","Real weeds",4.83,"weed"
"6637",2013,"8/20/2013",108,16,37,"Control","Andropogon gerardi",7.2,"planted"
"6638",2010,"8/23/2010",108,16,37,"Control","Koeleria cristata",9.6,"planted"
"6639",2013,"8/20/2013",108,16,37,"Control","Cyperus sp.",1.5,"weed"
"6640",2022,NA,108,16,37,"Control","Petalostemum purpureum",30.1,"planted"
"6641",2013,"8/20/2013",108,16,37,"Control","Amorpha canescens",121.1,"planted"
"6642",2007,"10/16/2007",108,16,37,"Control","Schizachyrium scoparium",69.2,"planted"
"6643",2010,"8/23/2010",108,16,37,"Control","Lupinus perennis",78,"planted"
"6644",2022,NA,108,16,37,"Control","Schizachyrium scoparium",17.7,"planted"
"6645",2010,"8/23/2010",108,16,37,"Control","Amorpha canescens",2.8,"planted"
"6646",2007,"10/16/2007",108,16,37,"Control","Poa pratensis",23.2,"planted"
"6647",2007,"10/16/2007",108,16,37,"Control","Petalostemum purpureum",11.2,"planted"
"6648",2007,"10/16/2007",108,16,37,"Control","Lupinus perennis",84.7,"planted"
"6649",2018,"8/1/2018",108,16,37,"Control","Sorghastrum nutans",1.1,"planted"
"6650",2018,"8/1/2018",108,16,37,"Control","Elymus canadensis",0,"planted"
"6651",2021,NA,108,16,37,"Control","Schizachyrium scoparium",5.1,"planted"
"6652",2022,NA,108,16,37,"Control","Sorghastrum nutans",8.21,"planted"
"6653",2024,NA,108,16,37,"Control","Sorghastrum nutans",8.77,"planted"
"6654",2016,"8/1/2016",108,16,37,"Control","Quercus macrocarpa",0,"planted"
"6655",2018,"8/1/2018",108,16,37,"Control","Andropogon gerardi",3,"planted"
"6656",2024,NA,108,16,37,"Control","Quercus ellipsoidalis",0,"planted"
"6657",2018,"8/1/2018",108,16,37,"Control","Solidago rigida",0,"planted"
"6658",2016,"8/1/2016",108,16,37,"Control","Poa pratensis",4.15,"planted"
"6659",2009,"8/17/2009",108,16,37,"Control","Koeleria cristata",0.6,"planted"
"6660",2022,NA,108,16,37,"Control","Poa pratensis",4.23,"planted"
"6661",2024,NA,108,16,37,"Control","Poa pratensis",30,"planted"
"6662",2018,"8/1/2018",108,16,37,"Control","Quercus ellipsoidalis",0,"planted"
"6663",2013,"8/20/2013",108,16,37,"Control","Polygonum convolvulus",1.1,"weed"
"6664",2023,NA,108,16,37,"Control","Agropyron smithii",0,"planted"
"6665",2009,"8/17/2009",108,16,37,"Control","Miscellaneous litter",10,"weed"
"6666",2016,"8/1/2016",108,16,37,"Control","Quercus ellipsoidalis",0,"planted"
"6667",2018,"8/1/2018",108,16,37,"Control","Amorpha canescens",3.2,"planted"
"6668",2009,"8/17/2009",108,16,37,"Control","Poa pratensis",12.6,"planted"
"6669",2015,"8/24/2015",108,16,37,"Control","Bouteloua gracilis",2.59,"weed"
"6670",2023,NA,108,16,37,"Control","Poa pratensis",9.23,"planted"
"6671",2024,NA,108,16,37,"Control","Petalostemum purpureum",35.4,"planted"
"6672",2016,"8/1/2016",108,16,37,"Control","Schizachyrium scoparium",1.9,"planted"
"6673",2022,NA,108,16,37,"Control","Lupinus perennis",0.33,"planted"
"6674",2016,"8/1/2016",108,16,37,"Control","Real weeds",0.05,"weed"
"6675",2009,"8/17/2009",108,16,37,"Control","Lupinus perennis",35.9,"planted"
"6676",2021,NA,108,16,37,"Control","Miscellaneous litter",66.5,"weed"
"6677",2009,"8/17/2009",108,16,37,"Control","Bouteloua gracilis",3.9,"weed"
"6678",2021,NA,108,16,37,"Control","Poa pratensis",11.7,"planted"
"6679",2010,"8/23/2010",108,16,37,"Control","Poa pratensis",21.3,"planted"
"6680",2014,"8/14/2014",108,16,37,"Control","Silene antirrhina",0.01,"weed"
"6681",2023,NA,108,16,37,"Control","Elymus canadensis",0,"planted"
"6682",2009,"8/17/2009",108,16,37,"Control","Sorghastrum nutans",4.1,"planted"
"6683",2011,"8/26/2011",108,16,37,"Control","Lupinus perennis",56.6,"planted"
"6684",2024,NA,108,16,37,"Control","Quercus macrocarpa",0,"planted"
"6685",2018,"8/1/2018",108,16,37,"Control","Poa pratensis",14.2,"planted"
"6686",2009,"8/17/2009",108,16,37,"Control","Amorpha canescens",18,"planted"
"6687",2009,"8/17/2009",108,16,37,"Control","Andropogon gerardi",34.9,"planted"
"6688",2021,NA,108,16,37,"Control","Lupinus perennis",6,"planted"
"6689",2021,NA,108,16,37,"Control","Amorpha canescens",105.3,"planted"
"6690",2023,NA,108,16,37,"Control","Andropogon gerardi",23.8,"planted"
"6691",2023,NA,108,16,37,"Control","Achillea millefolium (lanulosa)",0,"planted"
"6692",2018,"8/1/2018",108,16,37,"Control","Agropyron smithii",0,"planted"
"6693",2018,"8/1/2018",108,16,37,"Control","32 species weeds",3.6,"weed"
"6694",2009,"8/17/2009",108,16,37,"Control","Schizachyrium scoparium",77.6,"planted"
"6695",2012,"8/28/2012",108,16,37,"Control","Schizachyrium scoparium",42.5,"planted"
"6696",2016,"8/1/2016",108,16,37,"Control","Amorpha canescens",0,"planted"
"6697",2013,"8/20/2013",108,16,37,"Control","Lupinus perennis",25.4,"planted"
"6698",2024,NA,108,16,37,"Control","Miscellaneous litter",34.8,"weed"
"6699",2022,NA,108,16,37,"Control","Miscellaneous litter",1.7,"weed"
"6700",2016,"8/1/2016",108,16,37,"Control","Petalostemum purpureum",5.95,"planted"
"6701",2018,"8/1/2018",108,16,37,"Control","Achillea millefolium (lanulosa)",0,"planted"
"6702",2018,"8/1/2018",108,16,37,"Control","Liatris aspera",0,"planted"
"6703",2021,NA,108,16,37,"Control","Andropogon gerardi",95.5,"planted"
"6704",2018,"8/1/2018",108,16,37,"Control","Quercus macrocarpa",0,"planted"
"6705",2021,NA,108,16,37,"Control","Petalostemum purpureum",22,"planted"
"6706",2018,"8/1/2018",108,16,37,"Control","Schizachyrium scoparium",30.2,"planted"
"6707",2016,"8/1/2016",108,16,37,"Control","Achillea millefolium (lanulosa)",0,"planted"
"6708",2024,NA,108,16,37,"Control","Real weeds",4.15,"weed"
"6709",2024,NA,108,16,37,"Control","Solidago rigida",0,"planted"
"6710",2015,"8/24/2015",108,16,37,"Control","Andropogon gerardi",263.6,"planted"
"6711",2024,NA,108,16,37,"Control","Panicum virgatum",0,"planted"
"6712",2024,NA,108,16,37,"Control","Agropyron smithii",0,"planted"
"6713",2018,"8/1/2018",108,16,37,"Control","Petalostemum purpureum",27.3,"planted"
"6714",2018,"8/1/2018",108,16,37,"Control","Lupinus perennis",3.2,"planted"
"6715",2016,"8/1/2016",108,16,37,"Control","Liatris aspera",17.45,"planted"
"6716",2021,NA,108,16,37,"Control","Achillea millefolium (lanulosa)",0.2,"planted"
"6717",2023,NA,108,16,37,"Control","32 species weeds",0,"weed"
"6718",2012,"8/28/2012",108,16,37,"Control","Andropogon gerardi",12.5,"planted"
"6719",2012,"8/28/2012",108,16,37,"Control","Miscellaneous litter",0.6,"weed"
"6720",2023,NA,108,16,37,"Control","Solidago rigida",0,"planted"
"6721",2024,NA,108,16,37,"Control","Schizachyrium scoparium",35,"planted"
